cn2003	pc2003	many_one	one_many	many_many	simple	pc8plus	synthetic	notpc
"02063080"	"15111900"	1	0	0	0	"15111900"	0	0
"02064120"	"15111900"	1	0	0	0	"15111900"	0	0
"02064180"	"15111900"	1	0	0	0	"15111900"	0	0
"02064920"	"15111900"	1	0	0	0	"15111900"	0	0
"02064980"	"15111900"	1	0	0	0	"15111900"	0	0
"02068010"	"15111900"	1	0	0	0	"15111900"	0	0
"02068091"	"15111900"	1	0	0	0	"15111900"	0	0
"02068099"	"15111900"	1	0	0	0	"15111900"	0	0
"02069010"	"15111900"	1	0	0	0	"15111900"	0	0
"02069091"	"15111900"	1	0	0	0	"15111900"	0	0
"02069099"	"15111900"	1	0	0	0	"15111900"	0	0
"02071110"	"15121113"	1	0	0	0	"15121113"	0	0
"02071130"	"15121113"	1	0	0	0	"15121113"	0	0
"02071190"	"15121113"	1	0	0	0	"15121113"	0	0
"02071210"	"15121213"	1	0	0	0	"15121213"	0	0
"02071290"	"15121213"	1	0	0	0	"15121213"	0	0
"02071310"	"15121153"	1	0	0	0	"15121153"	0	0
"02071320"	"15121153"	1	0	0	0	"15121153"	0	0
"02071330"	"15121153"	1	0	0	0	"15121153"	0	0
"02071340"	"15121153"	1	0	0	0	"15121153"	0	0
"02071350"	"15121153"	1	0	0	0	"15121153"	0	0
"02071360"	"15121153"	1	0	0	0	"15121153"	0	0
"02071370"	"15121153"	1	0	0	0	"15121153"	0	0
"02071391"	"15121170"	1	0	0	0	"15121170"	0	0
"02071399"	"15121170"	1	0	0	0	"15121170"	0	0
"02071410"	"15121253"	1	0	0	0	"15121253"	0	0
"02071420"	"15121253"	1	0	0	0	"15121253"	0	0
"02071430"	"15121253"	1	0	0	0	"15121253"	0	0
"02071440"	"15121253"	1	0	0	0	"15121253"	0	0
"02071450"	"15121253"	1	0	0	0	"15121253"	0	0
"02071460"	"15121253"	1	0	0	0	"15121253"	0	0
"02071470"	"15121253"	1	0	0	0	"15121253"	0	0
"02071491"	"15121275"	1	0	0	0	"15121275"	0	0
"02071499"	"15121271"	1	0	0	0	"15121271"	0	0
"02072410"	"15121115"	1	0	0	0	"15121115"	0	0
"02072490"	"15121115"	1	0	0	0	"15121115"	0	0
"02072510"	"15121215"	1	0	0	0	"15121215"	0	0
"02072590"	"15121215"	1	0	0	0	"15121215"	0	0
"02072610"	"15121155"	1	0	0	0	"15121155"	0	0
"02072620"	"15121155"	1	0	0	0	"15121155"	0	0
"02072630"	"15121155"	1	0	0	0	"15121155"	0	0
"02072640"	"15121155"	1	0	0	0	"15121155"	0	0
"02072650"	"15121155"	1	0	0	0	"15121155"	0	0
"02072660"	"15121155"	1	0	0	0	"15121155"	0	0
"02072670"	"15121155"	1	0	0	0	"15121155"	0	0
"02072680"	"15121155"	1	0	0	0	"15121155"	0	0
"02072691"	"15121170"	1	0	0	0	"15121170"	0	0
"02072699"	"15121170"	1	0	0	0	"15121170"	0	0
"02072710"	"15121255"	1	0	0	0	"15121255"	0	0
"02072720"	"15121255"	1	0	0	0	"15121255"	0	0
"02072730"	"15121255"	1	0	0	0	"15121255"	0	0
"02072740"	"15121255"	1	0	0	0	"15121255"	0	0
"02072750"	"15121255"	1	0	0	0	"15121255"	0	0
"02072760"	"15121255"	1	0	0	0	"15121255"	0	0
"02072770"	"15121255"	1	0	0	0	"15121255"	0	0
"02072780"	"15121255"	1	0	0	0	"15121255"	0	0
"02072791"	"15121275"	1	0	0	0	"15121275"	0	0
"02072799"	"15121271"	1	0	0	0	"15121271"	0	0
"02073211"	"15121117"	1	0	0	0	"15121117"	0	0
"02073215"	"15121117"	1	0	0	0	"15121117"	0	0
"02073219"	"15121117"	1	0	0	0	"15121117"	0	0
"02073251"	"15121117"	1	0	0	0	"15121117"	0	0
"02073259"	"15121117"	1	0	0	0	"15121117"	0	0
"02073290"	"15121117"	1	0	0	0	"15121117"	0	0
